alerted_at,food,location,prev_price,cur_price,change_pct,direction,prev_date,cur_date,currency
2026-06-10T22:39:51,Eggs,Malaysia,5.28,0.42,-92.05,DOWN,2026-06-08,2026-06-10,MYR
2026-06-10T22:39:51,Cooking Oil (Palm),Malaysia,6.6798,5.2,-22.15,DOWN,2026-06-08,2026-06-10,MYR
2026-06-10T22:39:51,Rice (Long Grain),Malaysia,3.641,3.2,-12.11,DOWN,2026-06-08,2026-06-10,MYR
2026-06-10T22:39:51,Onions,Lahad Datu,4.1382,4.6273,11.82,UP,2026-06-01,2026-06-08,MYR
2026-06-10T22:39:51,Onions,Sabah,3.8272,4.2619,11.36,UP,2026-06-01,2026-06-08,MYR
2026-06-10T22:40:24,Onions,Lahad Datu,4.1382,4.6273,11.82,UP,2026-06-01,2026-06-08,MYR
2026-06-10T22:40:24,Onions,Sabah,3.8272,4.2619,11.36,UP,2026-06-01,2026-06-08,MYR
2026-06-10T22:40:24,Cooking Oil (Palm),Malaysia,6.1032,6.6798,9.45,UP,2026-06-01,2026-06-08,MYR
2026-06-10T23:34:25,Fish (Ikan Kembung),Lahad Datu,8.0,9.3333,16.67,UP,2026-05-11,2026-06-01,MYR
2026-06-10T23:34:25,Onions,Lahad Datu,4.1382,4.6273,11.82,UP,2026-06-01,2026-06-08,MYR
2026-06-10T23:34:25,Fish (Ikan Kembung),Sabah,11.6134,12.9725,11.7,UP,2026-06-01,2026-06-08,MYR
2026-06-10T23:34:25,Onions,Sabah,3.8272,4.2619,11.36,UP,2026-06-01,2026-06-08,MYR
