date,value
2022-12-30,4.405
2023-01-02,4.405
2023-01-03,4.4039
2023-01-04,4.4005
2023-01-05,4.388
2023-01-06,4.4035
2023-01-09,4.3755
2023-01-10,4.3728
2023-01-11,4.371
2023-01-12,4.359
2023-01-13,4.336
2023-01-16,4.316
2023-01-17,4.3265
2023-01-18,4.3135
2023-01-19,4.308
2023-01-20,4.2855
2023-01-23,4.2855
2023-01-24,4.2778
2023-01-25,4.2615
2023-01-26,4.2455
2023-01-27,4.2445
2023-01-30,4.244
2023-01-31,4.2658
2023-02-01,4.2657
2023-02-02,4.246
2023-02-03,4.258
2023-02-06,4.258
2023-02-07,4.3023
2023-02-08,4.2985
2023-02-09,4.316
2023-02-10,4.3325
2023-02-13,4.3625
2023-02-14,4.3485
2023-02-15,4.3925
2023-02-16,4.404
2023-02-17,4.432
2023-02-20,4.4305
2023-02-21,4.4325
2023-02-22,4.4415
2023-02-23,4.434
2023-02-24,4.4355
2023-02-27,4.4785
2023-02-28,4.4875
2023-03-01,4.4725
2023-03-02,4.4755
2023-03-03,4.476
2023-03-06,4.478
2023-03-07,4.4725
2023-03-08,4.5255
2023-03-09,4.521
2023-03-10,4.52
2023-03-13,4.497
2023-03-14,4.487
2023-03-15,4.4835
2023-03-16,4.504
2023-03-17,4.4855
2023-03-20,4.486
2023-03-21,4.4725
2023-03-22,4.455
2023-03-23,4.418
2023-03-24,4.428
2023-03-27,4.4215
2023-03-28,4.4015
2023-03-29,4.4185
2023-03-30,4.4225
2023-03-31,4.4125
2023-04-03,4.419
2023-04-04,4.406
2023-04-05,4.3985
2023-04-06,4.399
2023-04-11,4.4185
2023-04-12,4.4125
2023-04-13,4.4
2023-04-14,4.402
2023-04-17,4.422
2023-04-18,4.434
2023-04-19,4.442
2023-04-20,4.4375
2023-04-21,4.4375
2023-04-24,4.4375
2023-04-25,4.4498
2023-04-26,4.457
2023-04-27,4.463
2023-04-28,4.4605
2023-05-02,4.464
2023-05-03,4.453
2023-05-04,4.453
2023-05-05,4.437
2023-05-08,4.437
2023-05-09,4.4495
2023-05-10,4.4585
2023-05-11,4.4625
2023-05-12,4.479
2023-05-15,4.4975
2023-05-16,4.499
2023-05-17,4.525
2023-05-18,4.5365
2023-05-19,4.5385
2023-05-22,4.548
2023-05-23,4.57
2023-05-24,4.593
2023-05-25,4.6255
2023-05-26,4.601
2023-05-29,4.605
2023-05-30,4.6015
2023-05-31,4.6155
2023-06-01,4.6135
2023-06-02,4.5775
2023-06-05,4.5775
2023-06-06,4.6075
2023-06-07,4.5975
2023-06-08,4.6185
2023-06-09,4.614
2023-06-12,4.62
2023-06-13,4.617
2023-06-14,4.6215
2023-06-15,4.626
2023-06-16,4.6145
2023-06-19,4.6275
2023-06-20,4.64
2023-06-21,4.645
2023-06-22,4.651
2023-06-23,4.6765
2023-06-26,4.6735
2023-06-27,4.666
2023-06-28,4.6715
2023-06-29,4.6715
