date,value
2023-01-01,0.8
2023-01-02,1.8
2023-01-03,1.5
2023-01-04,0.3
2023-01-05,7.4
2023-01-06,0.8
2023-01-07,21.0
2023-01-08,1.5
2023-01-09,0.6
2023-01-10,4.5
2023-01-11,1.3
2023-01-12,4.1
2023-01-13,0.9
2023-01-14,1.4
2023-01-15,0.2
2023-01-16,1.4
2023-01-17,1.3
2023-01-18,9.0
2023-01-19,5.3
2023-01-20,0.7
2023-01-21,13.9
2023-01-22,12.2
2023-01-23,9.4
2023-01-24,3.3
2023-01-25,18.8
2023-01-26,14.6
2023-01-27,11.3
2023-01-28,4.5
2023-01-29,14.4
2023-01-30,7.9
2023-01-31,10.6
2023-02-01,19.4
2023-02-02,6.6
2023-02-03,19.3
2023-02-04,3.1
2023-02-05,2.2
2023-02-06,5.5
2023-02-07,0.3
2023-02-08,8.3
2023-02-09,0.8
2023-02-10,7.7
2023-02-11,1.3
2023-02-12,1.4
2023-02-13,2.7
2023-02-14,0.0
2023-02-15,1.4
2023-02-16,11.1
2023-02-17,19.6
2023-02-18,11.7
2023-02-19,12.2
2023-02-20,23.0
2023-02-21,0.1
2023-02-22,0.8
2023-02-23,0.7
2023-02-24,5.2
2023-02-25,7.4
2023-02-26,11.2
2023-02-27,13.0
2023-02-28,2.9
2023-03-01,3.0
2023-03-02,7.7
2023-03-03,2.9
2023-03-04,2.8
2023-03-05,2.6
2023-03-06,5.7
2023-03-07,17.5
2023-03-08,2.1
2023-03-09,2.5
2023-03-10,0.9
2023-03-11,0.6
2023-03-12,0.0
2023-03-13,0.0
2023-03-14,0.1
2023-03-15,5.5
2023-03-16,3.8
2023-03-17,1.7
2023-03-18,3.7
2023-03-19,3.9
2023-03-20,6.8
2023-03-21,12.6
2023-03-22,2.1
2023-03-23,1.3
2023-03-24,2.1
2023-03-25,3.8
2023-03-26,9.9
2023-03-27,2.3
2023-03-28,6.7
2023-03-29,12.7
2023-03-30,17.3
2023-03-31,14.0
2023-04-01,50.3
2023-04-02,5.7
2023-04-03,15.3
2023-04-04,12.1
2023-04-05,12.8
2023-04-06,6.2
2023-04-07,2.0
2023-04-08,0.2
2023-04-09,0.2
2023-04-10,0.8
2023-04-11,1.3
2023-04-12,8.1
2023-04-13,2.8
2023-04-14,4.1
2023-04-15,15.9
2023-04-16,2.8
2023-04-17,2.0
2023-04-18,1.2
2023-04-19,0.9
2023-04-20,1.9
2023-04-21,1.0
2023-04-22,2.3
2023-04-23,0.7
2023-04-24,2.5
2023-04-25,5.0
2023-04-26,5.7
2023-04-27,7.6
2023-04-28,1.9
2023-04-29,3.3
2023-04-30,13.6
2023-05-01,4.0
2023-05-02,10.1
2023-05-03,1.1
2023-05-04,14.7
2023-05-05,15.8
2023-05-06,13.2
2023-05-07,10.5
2023-05-08,9.1
2023-05-09,11.0
2023-05-10,2.7
2023-05-11,1.3
2023-05-12,0.4
2023-05-13,3.7
2023-05-14,6.6
2023-05-15,16.5
2023-05-16,4.3
2023-05-17,8.8
2023-05-18,3.8
2023-05-19,3.0
2023-05-20,13.3
2023-05-21,3.9
2023-05-22,11.2
2023-05-23,3.5
2023-05-24,8.1
2023-05-25,5.5
2023-05-26,4.2
2023-05-27,4.6
2023-05-28,1.3
2023-05-29,2.9
2023-05-30,11.4
2023-05-31,0.1
2023-06-01,1.7
2023-06-02,18.3
2023-06-03,10.3
2023-06-04,8.9
2023-06-05,5.9
2023-06-06,1.2
2023-06-07,4.6
2023-06-08,3.5
2023-06-09,4.4
2023-06-10,0.4
2023-06-11,2.6
2023-06-12,10.5
2023-06-13,1.4
2023-06-14,3.6
2023-06-15,4.3
2023-06-16,0.1
2023-06-17,8.2
2023-06-18,11.6
2023-06-19,12.1
2023-06-20,7.4
2023-06-21,2.2
2023-06-22,1.8
2023-06-23,1.1
2023-06-24,1.9
2023-06-25,5.5
2023-06-26,3.7
2023-06-27,1.5
2023-06-28,4.6
2023-06-29,2.6
2023-06-30,0.4
2023-07-01,12.4
2023-07-02,5.8
2023-07-03,24.6
2023-07-04,7.7
2023-07-05,2.0
2023-07-06,4.1
2023-07-07,1.6
2023-07-08,9.2
2023-07-09,1.7
2023-07-10,2.4
2023-07-11,11.0
2023-07-12,4.3
2023-07-13,15.9
2023-07-14,6.0
2023-07-15,3.3
2023-07-16,0.2
2023-07-17,0.1
2023-07-18,4.3
2023-07-19,12.9
2023-07-20,11.4
2023-07-21,15.3
2023-07-22,15.5
2023-07-23,20.8
2023-07-24,7.3
2023-07-25,0.2
2023-07-26,0.5
2023-07-27,2.2
2023-07-28,0.4
2023-07-29,0.0
2023-07-30,0.8
2023-07-31,0.3
2023-08-01,0.0
2023-08-02,3.5
2023-08-03,0.3
2023-08-04,0.3
2023-08-05,0.6
2023-08-06,9.9
2023-08-07,1.8
2023-08-08,0.9
2023-08-09,3.6
2023-08-10,3.2
2023-08-11,1.8
2023-08-12,1.5
2023-08-13,1.4
2023-08-14,12.2
2023-08-15,1.0
2023-08-16,4.8
2023-08-17,19.2
2023-08-18,3.0
2023-08-19,0.6
2023-08-20,2.7
2023-08-21,1.1
2023-08-22,13.9
2023-08-23,0.4
2023-08-24,6.9
2023-08-25,1.9
2023-08-26,4.1
2023-08-27,4.3
2023-08-28,0.1
2023-08-29,4.2
2023-08-30,6.3
2023-08-31,1.7
2023-09-01,7.2
2023-09-02,6.1
2023-09-03,0.3
2023-09-04,0.3
2023-09-05,0.3
2023-09-06,1.6
2023-09-07,9.8
2023-09-08,7.9
2023-09-09,13.7
2023-09-10,5.3
2023-09-11,2.3
2023-09-12,2.3
2023-09-13,3.8
2023-09-14,3.4
2023-09-15,27.2
2023-09-16,0.5
2023-09-17,6.0
2023-09-18,29.3
2023-09-19,6.1
2023-09-20,5.7
2023-09-21,1.6
2023-09-22,4.2
2023-09-23,4.9
2023-09-24,0.7
2023-09-25,3.8
2023-09-26,11.3
2023-09-27,6.5
2023-09-28,6.0
2023-09-29,10.2
2023-09-30,9.2
2023-10-01,1.8
2023-10-02,3.1
2023-10-03,2.3
2023-10-04,4.4
2023-10-05,1.0
2023-10-06,0.3
2023-10-07,2.8
2023-10-08,2.0
2023-10-09,11.1
2023-10-10,17.9
2023-10-11,16.2
2023-10-12,21.8
2023-10-13,3.0
2023-10-14,0.1
2023-10-15,6.4
2023-10-16,31.2
2023-10-17,4.8
2023-10-18,5.7
2023-10-19,0.9
2023-10-20,1.5
2023-10-21,4.6
2023-10-22,11.2
2023-10-23,9.2
2023-10-24,4.1
2023-10-25,0.2
2023-10-26,17.9
2023-10-27,7.5
2023-10-28,0.6
2023-10-29,0.9
2023-10-30,2.7
2023-10-31,1.3
2023-11-01,2.4
2023-11-02,0.3
2023-11-03,3.6
2023-11-04,18.9
2023-11-05,14.8
2023-11-06,2.3
2023-11-07,9.6
2023-11-08,9.7
2023-11-09,0.4
2023-11-10,3.3
2023-11-11,5.0
2023-11-12,2.9
2023-11-13,2.0
2023-11-14,2.8
2023-11-15,3.0
2023-11-16,10.6
2023-11-17,8.4
2023-11-18,2.3
2023-11-19,12.3
2023-11-20,1.0
2023-11-21,6.9
2023-11-22,1.7
2023-11-23,13.8
2023-11-24,12.0
2023-11-25,5.7
2023-11-26,24.9
2023-11-27,4.7
2023-11-28,1.4
2023-11-29,4.4
2023-11-30,5.0
2023-12-01,2.6
2023-12-02,5.7
2023-12-03,14.5
2023-12-04,12.2
2023-12-05,7.9
2023-12-06,7.7
2023-12-07,2.2
2023-12-08,4.8
2023-12-09,4.7
2023-12-10,3.8
2023-12-11,1.6
2023-12-12,1.1
2023-12-13,1.2
